Symbol,Description,OrderID,Quantity,Action,Exchange,Side,Price,News
ISRG,Intuitive Surgical Inc,1151,924000,A,1,B,697.02,0
AAL,American Airlines Group Inc,1201,784000,A,1,S,44.2,0
AAPL,Apple Inc,1202,169000,A,1,S,128.75,0
ADBE,Adobe Systems Inc,1203,329000,A,1,S,118.41,50
ADI,Analog Devices Inc,1204,254000,A,1,S,76.18,0
ADP,Automatic Data Processing Inc,1205,286000,A,1,S,95.25,0
ADSK,Autodesk Inc,1206,560000,A,1,S,79.45,50
AKAM,Akamai Technologies Inc,1207,582000,A,1,S,68.73,0
ALXN,Alexion Pharmaceuticals Inc,1208,531000,A,1,S,132.5,0
AMAT,Applied Materials Inc,1209,291000,A,1,S,35.22,0
AMGN,Amgen Inc,1210,331000,A,1,S,159.71,0
AMZN,Amazon.com Inc,1211,892000,A,1,S,832.37,0
ATVI,Activision Blizzard Inc,1212,429000,A,1,S,40.55,0
AVGO,Broadcom Ltd,1213,971000,A,1,S,203.85,0
BBBY,Bed Bath & Beyond Inc,1214,217000,A,1,S,34.86,50
BIDU,Baidu Inc,1215,774000,A,1,S,178.96,50
BIIB,Biogen Inc,1216,690000,A,1,S,281.7,0
BMRN,Biomarin Pharmaceutical Inc,1217,963000,A,1,S,88.76,0
CA,CA Inc,1218,232000,A,1,S,33.65,50
CELG,Celgene Corp,1219,567000,A,1,S,117.57,0
CERN,Cerner Corp,1220,466000,A,1,S,53.89,0
CHKP,Check Point Software Technologies Ltd,1221,460000,A,1,S,102.04,50
CHTR,Charter Communications Inc,1222,894000,A,1,S,326.91,50
CMCSA,Comcast Corp,1223,532000,A,1,S,69.66,100
COST,Costco Wholesale Corp,1224,576000,A,1,S,161,100
CSCO,Cisco Systems Inc,1225,756000,A,1,S,40.58,100
CSX,CSX Corp,1226,821000,A,1,S,47.09,0
CTRP,Ctrip.Com International Ltd,1227,851000,A,1,S,43.17,0
CTSH,Cognizant Technology Solutions Corp,1228,399000,A,1,S,52.46,0
CTXS,Citrix Systems Inc,1229,512000,A,1,S,76.4,50
DISCA,Discovery Communications Inc,1230,841000,A,1,S,28.12,0
DISCK,Discovery Communications Inc,1231,178000,A,1,S,27.42,0
DISH,DISH Network Corp,1232,727000,A,1,S,61.3,0
DLTR,Dollar Tree Inc,1233,608000,A,1,S,76.54,0
EA,Electronic Arts,1234,549000,A,1,S,83.09,0
EBAY,eBay Inc,1235,282000,A,1,S,32.25,0
ESRX,Express Scripts Holding Co,1236,667000,A,1,S,69.12,0
EXPE,Expedia Inc,1237,801000,A,1,S,120.92,0
FAST,Fastenal Co,1238,419000,A,1,S,49.73,0
FB,Facebook,1239,175000,A,1,S,133.42,0
FISV,Fiserv Inc,1240,673000,A,1,S,112.51,100
FOX,21st Century Fox Class B,1241,871000,A,1,S,31.24,0
FOXA,21st Century Fox Class A,1242,561000,A,1,S,31.8,0
GILD,Gilead Sciences Inc,1243,678000,A,1,S,77.45,50
GOOG,Alphabet Class C,1244,244000,A,1,S,795.84,0
GOOGL,Alphabet Class A,1245,363000,A,1,S,815.43,0
HSIC,Henry Schein Inc,1246,153000,A,1,S,159.96,0
ILMN,Illumina Inc,1247,698000,A,1,S,161.63,0
INCY,Incyte Corp,1248,983000,A,1,S,127.36,50
INTC,Intel Corp,1249,822000,A,1,S,36.54,0
INTU,Intuit Inc,1250,863000,A,1,S,117.78,0
ISRG,Intuitive Surgical Inc,1251,834000,A,1,S,701.57,50
AAL,American Airlines Group Inc,2101,737000,A,2,B,52.05,100
AAPL,Apple Inc,2102,461000,A,2,B,127.75,50
ADBE,Adobe Systems Inc,2103,403000,A,2,B,113.36,0
ADI,Analog Devices Inc,2104,793000,A,2,B,72.17,100
ADP,Automatic Data Processing Inc,2105,432000,A,2,B,95.25,0
ADSK,Autodesk Inc,2106,280000,A,2,B,85.28,100
AKAM,Akamai Technologies Inc,2107,284000,A,2,B,68.7,0
ALXN,Alexion Pharmaceuticals Inc,2108,757000,A,2,B,132.32,0
AMAT,Applied Materials Inc,2109,814000,A,2,B,35.03,0
AMGN,Amgen Inc,2110,436000,A,2,B,159.67,0
AMZN,Amazon.com Inc,2111,726000,A,2,B,832.35,0
ATVI,Activision Blizzard Inc,2112,731000,A,2,B,40.47,0
AVGO,Broadcom Ltd,2113,439000,A,2,B,203.69,0
BBBY,Bed Bath & Beyond Inc,2114,542000,A,2,B,38.79,100
BIDU,Baidu Inc,2115,863000,A,2,B,171.32,50
BIIB,Biogen Inc,2116,742000,A,2,B,281.19,50
BMRN,Biomarin Pharmaceutical Inc,2117,917000,A,2,B,84.09,50
CA,CA Inc,2118,172000,A,2,B,30.95,0
CELG,Celgene Corp,2119,112000,A,2,B,117.41,0
CERN,Cerner Corp,2120,716000,A,2,B,55.86,100
CHKP,Check Point Software Technologies Ltd,2121,670000,A,2,B,97.91,0
CHTR,Charter Communications Inc,2122,120000,A,2,B,326.85,0
CMCSA,Comcast Corp,2123,244000,A,2,B,75.61,0
COST,Costco Wholesale Corp,2124,472000,A,2,B,161.86,0
CSCO,Cisco Systems Inc,2125,911000,A,2,B,30.5,0
CSX,CSX Corp,2126,468000,A,2,B,46.09,100
CTRP,Ctrip.Com International Ltd,2127,144000,A,2,B,43.01,0
CTSH,Cognizant Technology Solutions Corp,2128,158000,A,2,B,58.45,100
CTXS,Citrix Systems Inc,2129,540000,A,2,B,71.24,0
DISCA,Discovery Communications Inc,2130,759000,A,2,B,28.04,0
DISCK,Discovery Communications Inc,2131,967000,A,2,B,22.4,50
DISH,DISH Network Corp,2132,326000,A,2,B,61.14,0
DLTR,Dollar Tree Inc,2133,746000,A,2,B,76.39,0
EA,Electronic Arts,2134,264000,A,2,B,83,0
EBAY,eBay Inc,2135,230000,A,2,B,32.18,0
ESRX,Express Scripts Holding Co,2136,895000,A,2,B,67.11,50
EXPE,Expedia Inc,2137,609000,A,2,B,120.77,0
FAST,Fastenal Co,2138,265000,A,2,B,49.62,0
FB,Facebook,2139,329000,A,2,B,133.23,0
FISV,Fiserv Inc,2140,836000,A,2,B,105.38,0
FOX,21st Century Fox Class B,2141,910000,A,2,B,31.24,0
FOXA,21st Century Fox Class A,2142,461000,A,2,B,31.62,0
GILD,Gilead Sciences Inc,2143,960000,A,2,B,72.82,0
GOOG,Alphabet Class C,2144,857000,A,2,B,795.695,0
GOOGL,Alphabet Class A,2145,481000,A,2,B,815.24,100
HSIC,Henry Schein Inc,2146,190000,A,2,B,159.86,0
ILMN,Illumina Inc,2147,517000,A,2,B,161.58,0
INCY,Incyte Corp,2148,127000,A,2,B,121.77,50
INTC,Intel Corp,2149,236000,A,2,B,36.52,0
INTU,Intuit Inc,2150,129000,A,2,B,127.71,100
ISRG,Intuitive Surgical Inc,2151,723000,A,2,B,697.02,0
AAL,American Airlines Group Inc,2201,740000,A,2,S,46.21,100
AAPL,Apple Inc,2202,152000,A,2,S,128.82,0
ADBE,Adobe Systems Inc,2203,740000,A,2,S,113.41,0
ADI,Analog Devices Inc,2204,125000,A,2,S,76.34,0
ADP,Automatic Data Processing Inc,2205,561000,A,2,S,95.35,0
ADSK,Autodesk Inc,2206,206000,A,2,S,81.34,0
AKAM,Akamai Technologies Inc,2207,782000,A,2,S,70.4,50
ALXN,Alexion Pharmaceuticals Inc,2208,758000,A,2,S,132.47,0
AMAT,Applied Materials Inc,2209,325000,A,2,S,35.14,0
AMGN,Amgen Inc,2210,280000,A,2,S,159.69,0
AMZN,Amazon.com Inc,2211,203000,A,2,S,832.49,0
ATVI,Activision Blizzard Inc,2212,660000,A,2,S,39.51,50
AVGO,Broadcom Ltd,2213,604000,A,2,S,203.86,0
BBBY,Bed Bath & Beyond Inc,2214,245000,A,2,S,40.83,50
BIDU,Baidu Inc,2215,345000,A,2,S,173.87,0
BIIB,Biogen Inc,2216,196000,A,2,S,281.78,0
BMRN,Biomarin Pharmaceutical Inc,2217,834000,A,2,S,81.64,100
CA,CA Inc,2218,336000,A,2,S,31.08,0
CELG,Celgene Corp,2219,750000,A,2,S,117.45,0
CERN,Cerner Corp,2220,330000,A,2,S,53.88,0
CHKP,Check Point Software Technologies Ltd,2221,993000,A,2,S,98.05,0
CHTR,Charter Communications Inc,2222,806000,A,2,S,326.96,0
CMCSA,Comcast Corp,2223,886000,A,2,S,75.68,0
COST,Costco Wholesale Corp,2224,104000,A,2,S,162.06,0
CSCO,Cisco Systems Inc,2225,693000,A,2,S,30.68,0
CSX,CSX Corp,2226,880000,A,2,S,47.27,0
CTRP,Ctrip.Com International Ltd,2227,208000,A,2,S,43.13,0
CTSH,Cognizant Technology Solutions Corp,2228,354000,A,2,S,52.5,0
CTXS,Citrix Systems Inc,2229,228000,A,2,S,71.26,0
DISCA,Discovery Communications Inc,2230,778000,A,2,S,28.2,0
DISCK,Discovery Communications Inc,2231,636000,A,2,S,24.54,100
DISH,DISH Network Corp,2232,170000,A,2,S,61.16,0
DLTR,Dollar Tree Inc,2233,583000,A,2,S,76.53,0
EA,Electronic Arts,2234,847000,A,2,S,75.02,100
EBAY,eBay Inc,2235,279000,A,2,S,35.76,50
ESRX,Express Scripts Holding Co,2236,491000,A,2,S,69.14,0
EXPE,Expedia Inc,2237,941000,A,2,S,120.83,0
FAST,Fastenal Co,2238,900000,A,2,S,49.67,0
FB,Facebook,2239,971000,A,2,S,140.25,100
FISV,Fiserv Inc,2240,913000,A,2,S,105.41,0
FOX,21st Century Fox Class B,2241,714000,A,2,S,31.41,0
FOXA,21st Century Fox Class A,2242,148000,A,2,S,31.63,0
GILD,Gilead Sciences Inc,2243,160000,A,2,S,71.37,50
GOOG,Alphabet Class C,2244,679000,A,2,S,795.71,0
GOOGL,Alphabet Class A,2245,186000,A,2,S,815.44,0
HSIC,Henry Schein Inc,2246,317000,A,2,S,160.02,0
ILMN,Illumina Inc,2247,879000,A,2,S,161.69,0
INCY,Incyte Corp,2248,622000,A,2,S,124.36,0
INTC,Intel Corp,2249,936000,A,2,S,36.62,0
INTU,Intuit Inc,2250,355000,A,2,S,117.86,0
ISRG,Intuitive Surgical Inc,2251,692000,A,2,S,697.16,0
AAL,American Airlines Group Inc,3101,688000,A,3,B,44.05,0
AAPL,Apple Inc,3102,984000,A,3,B,128.75,0
ADBE,Adobe Systems Inc,3103,761000,A,3,B,108.36,50
ADI,Analog Devices Inc,3104,213000,A,3,B,76.17,0
ADP,Automatic Data Processing Inc,3105,951000,A,3,B,95.25,0
ADSK,Autodesk Inc,3106,274000,A,3,B,81.28,0
AKAM,Akamai Technologies Inc,3107,278000,A,3,B,67.7,100
ALXN,Alexion Pharmaceuticals Inc,3108,976000,A,3,B,134.82,50
AMAT,Applied Materials Inc,3109,111000,A,3,B,35.03,0
AMGN,Amgen Inc,3110,469000,A,3,B,159.67,0
AMZN,Amazon.com Inc,3111,862000,A,3,B,832.35,0
ATVI,Activision Blizzard Inc,3112,649000,A,3,B,40.47,0
AVGO,Broadcom Ltd,3113,176000,A,3,B,203.69,0
BBBY,Bed Bath & Beyond Inc,3114,680000,A,3,B,39.79,0
BIDU,Baidu Inc,3115,295000,A,3,B,172.32,50
BIIB,Biogen Inc,3116,143000,A,3,B,281.69,0
BMRN,Biomarin Pharmaceutical Inc,3117,114000,A,3,B,88.59,0
CA,CA Inc,3118,346000,A,3,B,30.95,0
CELG,Celgene Corp,3119,365000,A,3,B,117.41,0
CERN,Cerner Corp,3120,450000,A,3,B,53.86,0
CHKP,Check Point Software Technologies Ltd,3121,456000,A,3,B,96.91,50
CHTR,Charter Communications Inc,3122,531000,A,3,B,326.85,0
CMCSA,Comcast Corp,3123,950000,A,3,B,66.61,100
COST,Costco Wholesale Corp,3124,916000,A,3,B,161.86,0
CSCO,Cisco Systems Inc,3125,972000,A,3,B,25.5,50
CSX,CSX Corp,3126,668000,A,3,B,47.09,0
CTRP,Ctrip.Com International Ltd,3127,111000,A,3,B,43.01,0
CTSH,Cognizant Technology Solutions Corp,3128,444000,A,3,B,52.45,0
CTXS,Citrix Systems Inc,3129,790000,A,3,B,71.24,0
DISCA,Discovery Communications Inc,3130,872000,A,3,B,28.04,0
DISCK,Discovery Communications Inc,3131,106000,A,3,B,27.4,0
DISH,DISH Network Corp,3132,172000,A,3,B,59.14,100
DLTR,Dollar Tree Inc,3133,819000,A,3,B,76.39,0
EA,Electronic Arts,3134,761000,A,3,B,83,0
EBAY,eBay Inc,3135,595000,A,3,B,32.18,0
ESRX,Express Scripts Holding Co,3136,345000,A,3,B,65.61,50
EXPE,Expedia Inc,3137,267000,A,3,B,120.77,0
FAST,Fastenal Co,3138,932000,A,3,B,48.12,50
FB,Facebook,3139,302000,A,3,B,133.23,0
FISV,Fiserv Inc,3140,508000,A,3,B,105.38,0
FOX,21st Century Fox Class B,3141,668000,A,3,B,31.24,0
FOXA,21st Century Fox Class A,3142,134000,A,3,B,31.62,0
GILD,Gilead Sciences Inc,3143,497000,A,3,B,72.82,0
GOOG,Alphabet Class C,3144,938000,A,3,B,795.695,0
GOOGL,Alphabet Class A,3145,806000,A,3,B,820.24,50
HSIC,Henry Schein Inc,3146,691000,A,3,B,159.86,0
ILMN,Illumina Inc,3147,253000,A,3,B,161.58,0
INCY,Incyte Corp,3148,881000,A,3,B,124.27,0
INTC,Intel Corp,3149,261000,A,3,B,39.52,50
INTU,Intuit Inc,3150,281000,A,3,B,113.71,100
ISRG,Intuitive Surgical Inc,3151,741000,A,3,B,687.02,100
AAL,American Airlines Group Inc,3201,209000,A,3,S,41.62,50
AAPL,Apple Inc,3202,136000,A,3,S,123.87,100
ADBE,Adobe Systems Inc,3203,954000,A,3,S,113.43,0
ADI,Analog Devices Inc,3204,437000,A,3,S,76.2,0
ADP,Automatic Data Processing Inc,3205,217000,A,3,S,97.93,50
ADSK,Autodesk Inc,3206,601000,A,3,S,80.87,50
AKAM,Akamai Technologies Inc,3207,647000,A,3,S,62.88,100
ALXN,Alexion Pharmaceuticals Inc,3208,790000,A,3,S,127.52,50
AMAT,Applied Materials Inc,3209,423000,A,3,S,35.05,0
AMGN,Amgen Inc,3210,252000,A,3,S,159.83,0
AMZN,Amazon.com Inc,3211,535000,A,3,S,832.43,0
ATVI,Activision Blizzard Inc,3212,729000,A,3,S,40.58,0
AVGO,Broadcom Ltd,3213,564000,A,3,S,203.75,0
BBBY,Bed Bath & Beyond Inc,3214,316000,A,3,S,39.9,0
BIDU,Baidu Inc,3215,856000,A,3,S,173.84,0
BIIB,Biogen Inc,3216,196000,A,3,S,281.77,0
BMRN,Biomarin Pharmaceutical Inc,3217,474000,A,3,S,81.69,100
CA,CA Inc,3218,652000,A,3,S,31.1,0
CELG,Celgene Corp,3219,536000,A,3,S,120.58,50
CERN,Cerner Corp,3220,926000,A,3,S,54.05,0
CHKP,Check Point Software Technologies Ltd,3221,178000,A,3,S,98.06,0
CHTR,Charter Communications Inc,3222,983000,A,3,S,326.9,0
CMCSA,Comcast Corp,3223,906000,A,3,S,75.81,0
COST,Costco Wholesale Corp,3224,885000,A,3,S,162.04,0
CSCO,Cisco Systems Inc,3225,941000,A,3,S,35.68,50
CSX,CSX Corp,3226,920000,A,3,S,47.23,0
CTRP,Ctrip.Com International Ltd,3227,682000,A,3,S,43.17,0
CTSH,Cognizant Technology Solutions Corp,3228,990000,A,3,S,52.55,0
CTXS,Citrix Systems Inc,3229,957000,A,3,S,71.38,0
DISCA,Discovery Communications Inc,3230,339000,A,3,S,28.12,0
DISCK,Discovery Communications Inc,3231,801000,A,3,S,27.5,0
DISH,DISH Network Corp,3232,380000,A,3,S,61.2,0
DLTR,Dollar Tree Inc,3233,369000,A,3,S,76.57,0
EA,Electronic Arts,3234,328000,A,3,S,83.15,0
EBAY,eBay Inc,3235,193000,A,3,S,34.77,50
ESRX,Express Scripts Holding Co,3236,193000,A,3,S,69.28,0
EXPE,Expedia Inc,3237,628000,A,3,S,120.96,0
FAST,Fastenal Co,3238,759000,A,3,S,49.72,0
FB,Facebook,3239,448000,A,3,S,133.37,0
FISV,Fiserv Inc,3240,830000,A,3,S,106.41,100
FOX,21st Century Fox Class B,3241,430000,A,3,S,31.32,0
FOXA,21st Century Fox Class A,3242,977000,A,3,S,27.73,100
GILD,Gilead Sciences Inc,3243,934000,A,3,S,73.01,0
GOOG,Alphabet Class C,3244,480000,A,3,S,794.4,50
GOOGL,Alphabet Class A,3245,148000,A,3,S,815.34,0
HSIC,Henry Schein Inc,3246,332000,A,3,S,159.86,0
ILMN,Illumina Inc,3247,652000,A,3,S,161.77,0
INCY,Incyte Corp,3248,481000,A,3,S,124.3,0
INTC,Intel Corp,3249,770000,A,3,S,36.53,0
INTU,Intuit Inc,3250,509000,A,3,S,117.89,0
ISRG,Intuitive Surgical Inc,3251,278000,A,3,S,697.02,0
AAL,American Airlines Group Inc,2101,633000,M,2,B,40.55,50
AAPL,Apple Inc,3102,326000,M,3,B,128.75,0
ADBE,Adobe Systems Inc,3203,605000,M,3,S,113.55,0
ADI,Analog Devices Inc,3204,122000,M,3,S,76.37,0
ADP,Automatic Data Processing Inc,2205,471000,M,2,S,95.27,0
ADSK,Autodesk Inc,3206,113000,M,3,S,81.42,0
AKAM,Akamai Technologies Inc,3107,202000,M,3,B,71.7,50
ALXN,Alexion Pharmaceuticals Inc,2108,256000,M,2,B,136.82,50
AMAT,Applied Materials Inc,1209,371000,M,1,S,28.05,100
AMGN,Amgen Inc,2210,465000,M,2,S,160.81,100
AMZN,Amazon.com Inc,2111,426000,M,2,B,832.35,0
ATVI,Activision Blizzard Inc,3212,661000,M,3,S,31.65,100
AVGO,Broadcom Ltd,1213,390000,M,1,S,203.85,0
BBBY,Bed Bath & Beyond Inc,2114,760000,M,2,B,41.79,100
BIDU,Baidu Inc,2115,829000,M,2,B,173.82,0
BIIB,Biogen Inc,1216,766000,M,1,S,281.83,0
BMRN,Biomarin Pharmaceutical Inc,3117,400000,M,3,B,88.59,50
CA,CA Inc,3118,738000,M,3,B,30.95,0
CELG,Celgene Corp,2119,868000,M,2,B,117.41,0
CERN,Cerner Corp,3220,440000,M,3,S,61.92,100
CHKP,Check Point Software Technologies Ltd,1121,359000,M,1,B,97.91,0
CHTR,Charter Communications Inc,2122,988000,M,2,B,326.85,0
CMCSA,Comcast Corp,3123,600000,M,3,B,78.61,50
COST,Costco Wholesale Corp,1124,784000,M,1,B,165.36,50
CSCO,Cisco Systems Inc,2225,721000,M,2,S,30.55,0
CSX,CSX Corp,1226,583000,M,1,S,42.65,50
CTRP,Ctrip.Com International Ltd,3227,361000,M,3,S,53.12,100
CTSH,Cognizant Technology Solutions Corp,3128,563000,M,3,B,48.95,50
CTXS,Citrix Systems Inc,2129,452000,M,2,B,67.74,50
DISCA,Discovery Communications Inc,3230,170000,M,3,S,28.24,0
DISCK,Discovery Communications Inc,3131,509000,M,3,B,27.4,0
DISH,DISH Network Corp,2132,208000,M,2,B,66.14,50
DLTR,Dollar Tree Inc,2133,481000,M,2,B,76.39,0
EA,Electronic Arts,1134,960000,M,1,B,83,0
EBAY,eBay Inc,3135,726000,M,3,B,32.18,0
ESRX,Express Scripts Holding Co,2236,740000,M,2,S,69.14,0
EXPE,Expedia Inc,3237,739000,M,3,S,120.77,0
FAST,Fastenal Co,2138,402000,M,2,B,49.62,0
FB,Facebook,1239,665000,M,1,S,133.38,0
FISV,Fiserv Inc,2240,255000,M,2,S,105.48,0
FOX,21st Century Fox Class B,1241,418000,M,1,S,27.79,50
FOXA,21st Century Fox Class A,3242,907000,M,3,S,31.64,0
GILD,Gilead Sciences Inc,2143,495000,M,2,B,72.82,0
GOOG,Alphabet Class C,3144,874000,M,3,B,795.695,0
GOOGL,Alphabet Class A,2245,263000,M,2,S,815.36,0
HSIC,Henry Schein Inc,3246,985000,M,3,S,159.88,0
ILMN,Illumina Inc,3247,612000,M,3,S,162.77,50
INCY,Incyte Corp,1248,302000,M,1,S,129.29,50
INTC,Intel Corp,3149,324000,M,3,B,36.52,0
INTU,Intuit Inc,2150,768000,M,2,B,121.21,50
ISRG,Intuitive Surgical Inc,3151,708000,M,3,B,694.02,100
AAL,American Airlines Group Inc,1101,361000,M,1,B,40.55,0
AAPL,Apple Inc,2202,613000,M,2,S,128.82,0
ADBE,Adobe Systems Inc,2103,532000,M,2,B,113.39,0
ADI,Analog Devices Inc,2104,523000,M,2,B,76.15,0
ADP,Automatic Data Processing Inc,3105,984000,M,3,B,95.23,0
ADSK,Autodesk Inc,3206,367000,M,3,S,81.32,0
AKAM,Akamai Technologies Inc,3107,711000,M,3,B,71.71,0
ALXN,Alexion Pharmaceuticals Inc,3208,232000,M,3,S,136.85,0
AMAT,Applied Materials Inc,2109,585000,M,2,B,28.01,0
AMGN,Amgen Inc,1210,895000,M,1,S,160.75,50
AMZN,Amazon.com Inc,2211,648000,M,2,S,832.44,0
ATVI,Activision Blizzard Inc,1212,589000,M,1,S,31.56,50
AVGO,Broadcom Ltd,3113,925000,M,3,B,203.71,0
BBBY,Bed Bath & Beyond Inc,3114,885000,M,3,B,41.79,0
BIDU,Baidu Inc,2215,273000,M,2,S,173.84,0
BIIB,Biogen Inc,3216,774000,M,3,S,281.92,0
BMRN,Biomarin Pharmaceutical Inc,1217,561000,M,1,S,88.75,50
CA,CA Inc,2118,153000,M,2,B,30.9,100
CELG,Celgene Corp,2119,850000,M,2,B,117.4,50
CERN,Cerner Corp,1220,362000,M,1,S,61.99,50
CHKP,Check Point Software Technologies Ltd,3221,949000,M,3,S,97.98,0
CHTR,Charter Communications Inc,1222,346000,M,1,S,326.89,100
CMCSA,Comcast Corp,3123,260000,M,3,B,78.66,100
COST,Costco Wholesale Corp,1224,523000,M,1,S,165.41,0
CSCO,Cisco Systems Inc,3225,803000,M,3,S,30.75,0
CSX,CSX Corp,3226,955000,M,3,S,42.63,0
CTRP,Ctrip.Com International Ltd,1227,988000,M,1,S,53.04,0
CTSH,Cognizant Technology Solutions Corp,2128,605000,M,2,B,48.96,0
CTXS,Citrix Systems Inc,3129,457000,M,3,B,67.75,0
DISCA,Discovery Communications Inc,3230,476000,M,3,S,28.11,0
DISCK,Discovery Communications Inc,3231,423000,M,3,S,27.54,50
DISH,DISH Network Corp,2132,524000,M,2,B,66.12,0
DLTR,Dollar Tree Inc,2233,591000,M,2,S,76.45,0
EA,Electronic Arts,1134,943000,M,1,B,83.05,0
EBAY,eBay Inc,1135,785000,M,1,B,32.14,0
ESRX,Express Scripts Holding Co,3136,229000,M,3,B,69.1,0
EXPE,Expedia Inc,2237,850000,M,2,S,120.78,0
FAST,Fastenal Co,2138,960000,M,2,B,49.58,0
FB,Facebook,1239,385000,M,1,S,133.41,0
FISV,Fiserv Inc,1140,942000,M,1,B,105.42,0
FOX,21st Century Fox Class B,3241,599000,M,3,S,27.9,0
FOXA,21st Century Fox Class A,2142,791000,M,2,B,31.57,0
GILD,Gilead Sciences Inc,3143,112000,M,3,B,72.84,0
GOOG,Alphabet Class C,2244,996000,M,2,S,795.78,0
GOOGL,Alphabet Class A,1245,970000,M,1,S,815.31,0
HSIC,Henry Schein Inc,1146,823000,M,1,B,159.83,0
ILMN,Illumina Inc,1247,269000,M,1,S,162.66,0
INCY,Incyte Corp,3148,995000,M,3,B,129.32,0
INTC,Intel Corp,2249,884000,M,2,S,36.57,0
INTU,Intuit Inc,1150,354000,M,1,B,121.21,50
ISRG,Intuitive Surgical Inc,1251,333000,M,1,S,694.2,0
AAL,American Airlines Group Inc,2201,815000,M,2,S,44.21,0
AAPL,Apple Inc,1202,702000,M,1,S,128.91,100
ADBE,Adobe Systems Inc,1103,940000,M,1,B,113.35,50
ADI,Analog Devices Inc,1104,368000,M,1,B,76.13,0
ADP,Automatic Data Processing Inc,1105,585000,M,1,B,95.26,0
ADSK,Autodesk Inc,1106,151000,M,1,B,81.3,0
AKAM,Akamai Technologies Inc,2207,907000,M,2,S,68.79,0
ALXN,Alexion Pharmaceuticals Inc,1108,400000,M,1,B,132.25,0
AMAT,Applied Materials Inc,1209,851000,M,1,S,35.19,0
AMGN,Amgen Inc,3210,138000,M,3,S,160.44,0
AMZN,Amazon.com Inc,2211,276000,M,2,S,832.38,0
ATVI,Activision Blizzard Inc,2212,871000,M,2,S,35.89,100
AVGO,Broadcom Ltd,3113,873000,M,3,B,203.67,0
BBBY,Bed Bath & Beyond Inc,2214,521000,M,2,S,40,0
BIDU,Baidu Inc,2215,284000,M,2,S,173.89,0
BIIB,Biogen Inc,1116,598000,M,1,B,281.76,100
